5,Female,How do you identify?
141,"Yes, online",Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
141,"Yes, offline",Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
141,No,Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
142,Yes,"Are members required to disclose information on their meetings with lobbyists, including the name of the lobbyists and the issues discussed?"
142,Other,"Are members required to disclose information on their meetings with lobbyists, including the name of the lobbyists and the issues discussed?"
142,No,"Are members required to disclose information on their meetings with lobbyists, including the name of the lobbyists and the issues discussed?"
143,Other,"If members are required to disclose information on their meetings with lobbyists, is this information available to the public?"
143,"Yes, online","If members are required to disclose information on their meetings with lobbyists, is this information available to the public?"
143,"Yes, offline","If members are required to disclose information on their meetings with lobbyists, is this information available to the public?"
143,No,"If members are required to disclose information on their meetings with lobbyists, is this information available to the public?"
144,Other,Is information regarding a member of parliament's assets and interests available to the public?
144,"Yes, online",Is information regarding a member of parliament's assets and interests available to the public?
144,"Yes, offline",Is information regarding a member of parliament's assets and interests available to the public?
144,No,Is information regarding a member of parliament's assets and interests available to the public?
145,Other,Is information regarding a member of parliament’s involvement on corporate boards available to the public?
145,"Yes, online",Is information regarding a member of parliament’s involvement on corporate boards available to the public?
145,"Yes, offline",Is information regarding a member of parliament’s involvement on corporate boards available to the public?
145,No,Is information regarding a member of parliament’s involvement on corporate boards available to the public?
146,Other,"Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
146,"Yes, online","Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
146,"Yes, offline","Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
146,No,"Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
147,Bulk download,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
147,Official bulletin or publication,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
147,API,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
147,Not available,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
147,Other,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
147,Parliamentary website,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
147,Mobile device,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Bulk download,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Official bulletin or publication,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,API,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Not available,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Other,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Parliamentary website,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Mobile device,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
149,Bulk download,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
149,Official bulletin or publication,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
149,API,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
149,Not available,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
149,Other,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
149,Parliamentary website,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
149,Mobile device,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
150,Bulk download,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
150,Official bulletin or publication,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
150,API,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
150,Not available,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
150,Other,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
150,Parliamentary website,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
150,Mobile device,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
151,Bulk download,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
151,Official bulletin or publication,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
151,API,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
151,Not available,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
151,Other,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
151,Parliamentary website,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
151,Mobile device,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
152,Bulk download,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
152,Official bulletin or publication,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
152,API,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
152,Not available,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
152,Other,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
152,Parliamentary website,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
152,Mobile device,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
153,Bulk download,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
153,Official bulletin or publication,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
153,API,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
153,Not available,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
153,Other,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
153,Parliamentary website,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
153,Mobile device,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
154,PDF,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,Word document (.doc),Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,Not available,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,Excel or CSV,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,XML,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,Printed copy,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,Other,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
154,HTML,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,PDF,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,Word document (.doc),Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,Not available,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,Excel or CSV,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,XML,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,Printed copy,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,Other,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,HTML,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
156,PDF,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,Word document (.doc),Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,Not available,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,Excel or CSV,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,XML,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,Printed copy,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,Other,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
156,HTML,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
157,PDF,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,Word document (.doc),Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,Not available,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,Excel or CSV,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,XML,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,Printed copy,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,Other,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
157,HTML,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
158,PDF,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,Word document (.doc),Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,Not available,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,Excel or CSV,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,XML,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,Printed copy,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,Other,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
158,HTML,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
159,PDF,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,Word document (.doc),Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,Not available,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,Excel or CSV,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,XML,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,Printed copy,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,Other,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
159,HTML,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
160,PDF,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,Word document (.doc),Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,Not available,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,Excel or CSV,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,XML,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,Printed copy,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,Other,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
160,HTML,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
161,4 - 6 years,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
161,10 or more years,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
161,Not available,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
161,1 - 3 years,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
161,Less than 1 year,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
161,7 - 9 years,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,4 - 6 years,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,10 or more years,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,Not available,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,1 - 3 years,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,Less than 1 year,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,7 - 9 years,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,4 - 6 years,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,10 or more years,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,Not available,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,1 - 3 years,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,Less than 1 year,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,7 - 9 years,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,4 - 6 years,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,10 or more years,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,Not available,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,1 - 3 years,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,Less than 1 year,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,7 - 9 years,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,4 - 6 years,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,10 or more years,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,Not available,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,1 - 3 years,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,Less than 1 year,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,7 - 9 years,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,4 - 6 years,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,10 or more years,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,Not available,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,1 - 3 years,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,Less than 1 year,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,7 - 9 years,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,4 - 6 years,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,10 or more years,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,Not available,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,1 - 3 years,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,Less than 1 year,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,7 - 9 years,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
169,Other,Is the parliament's budget available to the public?
169,"Yes, online",Is the parliament's budget available to the public?
169,"Yes, offline",Is the parliament's budget available to the public?
169,No,Is the parliament's budget available to the public?
170,Other,Is information about parliamentary expenditures available to the public?
170,"Yes, online",Is information about parliamentary expenditures available to the public?
170,"Yes, offline",Is information about parliamentary expenditures available to the public?
170,No,Is information about parliamentary expenditures available to the public?
171,Other,Is information about parliamentary contracts available to the public?
171,"Yes, online",Is information about parliamentary contracts available to the public?
171,"Yes, offline",Is information about parliamentary contracts available to the public?
171,No,Is information about parliamentary contracts available to the public?
172,Other,Is information about bids to provide services to the parliament available to the public?
172,"Yes, online",Is information about bids to provide services to the parliament available to the public?
172,"Yes, offline",Is information about bids to provide services to the parliament available to the public?
172,No,Is information about bids to provide services to the parliament available to the public?
173,Other,Is information on the roles and structure of parliament's administrative offices available to the public?
173,"Yes, online",Is information on the roles and structure of parliament's administrative offices available to the public?
173,"Yes, offline",Is information on the roles and structure of parliament's administrative offices available to the public?
173,No,Is information on the roles and structure of parliament's administrative offices available to the public?
174,Other,Is contact information for senior administrative staff available to the public?
174,"Yes, online",Is contact information for senior administrative staff available to the public?
174,"Yes, offline",Is contact information for senior administrative staff available to the public?
174,No,Is contact information for senior administrative staff available to the public?
